author,books_num,mean_rating,mean_review_count
Джон Шарп,2,4.7,1.0
Джон Яблонски,1,5.0,3.0
Джордан Голдмейер,1,4.7,3.0
Джордж Маунт,1,5.0,0.0
Джордж Хайнеман,1,4.0,1.0
Джош Лоспинозо,1,4.0,1.0
Джош Скин,1,4.3,4.0
Джош Уиллс,1,0.0,0.0
Джош Фишер,1,4.5,1.0
Диомидис Спинеллис,1,4.5,3.0
Дирк Хенкеманс,1,4.2,3.0
Дмитрий Вадимович Денисов,1,3.9,5.0
Дмитрий Жемеров,1,4.4,6.0
Дмитрий Каган,1,0.0,0.0
Дмитрий Колесниченко,1,0.0,0.0
Дмитрий Котеров,1,4.5,1.0
Дмитрий Маленко,2,1.5,0.5
Дмитрий Николаевич Черемнов,1,4.8,3.0
Дмитрий Осипов,1,3.6,0.0
Дмитрий Приходько,1,5.0,2.0
Дмитрий Рябой,1,5.0,4.0
Дмитрий Сошников,1,4.2,2.0
Дмитрий Федосеев,1,1.9,3.0
Дмитрий Юрьевич Усенков,1,5.0,0.0
Дон Гриффитс,1,4.4,2.0
Дуглас Крокфорд,1,4.3,2.0
Дэвид Гринхол,1,4.3,4.0
Дэвид Гриффитс,1,4.4,2.0
Дэвид Пог,1,3.7,0.0
Дэвид Рид,1,5.0,4.0
Дэвид Сойер Макфарланд,1,4.4,3.0
Дэвид Фарли,1,4.7,3.0
Дэвид Флэнаган,1,4.4,0.0
Дэвид Фостер,1,5.0,3.0
Дэвид Эйзенберг,1,4.2,1.0
Дэвид Эймос,1,4.8,4.0
Дэйн Хиллард,1,5.0,0.0
Дэн Бейдер,2,4.65,6.0
Е. А. Власова,2,0.0,0.0
Е. А. Еремин,1,3.5,0.0
Е. А. Кольчугина,1,5.0,0.0
Е. А. Крюков,1,3.0,2.0
Е. А. Малиновская,1,0.0,0.0
Е. А. Мыцко,1,5.0,0.0
Е. А. Сатюков,1,2.7,1.0
Е. А. Серова,1,0.0,0.0
Е. А. Сеславина,1,0.0,0.0
Е. В. Андреева,1,4.3,5.0
Е. В. Архангельская,1,0.0,0.0
Е. В. Буценко,1,0.0,0.0
Е. В. Виноградова,1,0.0,0.0
Е. В. Коротков,1,0.0,0.0
Е. В. Кучунова,1,0.0,1.0
Е. В. Романова,1,1.0,0.0
Е. В. Санников,1,0.0,0.0
Е. В. Соколов,1,1.5,2.0
Е. В. Чепин,1,0.0,0.0
Е. Д. Стрельцова,2,0.0,0.0
Е. Д. Умрихин,1,5.0,0.0
Е. Е. Ковшов,1,0.0,0.0
Е. З. Перельройзен,1,5.0,1.0
Е. И. Царегородцев,1,0.0,0.0
Е. Ковалев,1,0.0,0.0
Е. Л. Калишенко,1,0.0,0.0
Е. Н. Трошина,2,0.0,0.0
Е. О. Деревенец,1,0.0,0.0
Е. Р. Мошев,1,0.0,0.0
Е. С. Митяков,1,3.0,0.0
Е. Ю. Хрусталева,15,3.3466666666666667,3.533333333333333
Ева Порселло,1,5.0,3.0
Евгений Владимирович Сенько,1,4.2,6.0
Евгений Ждан,1,5.0,1.0
Евгений Корнилов,1,4.4,2.0
Евгений Костицын,1,5.0,1.0
Евгений Никулин,1,4.8,2.0
Евгений Павлов,1,4.0,2.0
Евгений Сергеевич Штольц,1,1.0,1.0
Егор Горошко,1,4.0,2.0
Екатерина Борисовна Грибанова,1,1.0,0.0
Елена Крылова,1,5.0,2.0
Елена Леонидовна Теплоухова,1,3.5,1.0
Елена Правдина,2,4.35,21.0
Елена Яковлева,2,4.3,4.5
Ж. А. Черняк,1,3.0,1.0
Жикун Чен,1,5.0,0.0
И. А. Александрова,1,3.8,4.0
И. А. Брусакова,1,5.0,0.0
И. А. Казакова,1,0.0,0.0
И. А. Семёнов,2,0.0,0.0
И. А. Шилин,2,2.5,0.0
И. Б. Кондратенков,1,0.0,0.0
И. В. Баженова,1,0.0,1.0
И. В. Богомягкова,1,0.0,0.0
И. В. Князева,2,4.35,2.5
И. В. Коробко,1,4.3,1.0
И. В. Петров,1,3.9,2.0
И. В. Шапошников,1,5.0,1.0
И. Г. Фёдоров,1,0.0,0.0
И. З. Мухаметзянов,1,5.0,0.0
И. И. Байнева,1,0.0,0.0
И. И. Попов,1,0.0,0.0
И. М. Ажмухамедов,1,0.0,0.0
И. М. Саламатин,1,0.0,0.0
И. О. Алферов,1,4.0,0.0
И. О. Атовмян,2,1.5,0.0
И. С. Калинников,1,0.0,0.0
И. С. Лебедев,1,0.0,0.0
И. Ю. Выгодчикова,1,0.0,0.0
И. Я. Гольфанд,1,0.0,0.0
Ив Хилпиш,1,3.7,1.0
Игорь Блинов,1,4.3,1.0
Игорь Геннадьевич Семакин,1,0.0,0.0
Игорь Квинт,1,4.2,5.0
Игорь Лазаревский,1,0.0,0.0
Игорь Матюшкин,1,0.0,2.0
Игорь Ощенко,2,3.75,5.0
Игорь Савчук,1,4.1,6.0
Игорь Сафронов,1,4.6,1.0
Игорь Симдянов,1,4.5,1.0
Ильдар Хабибуллин,1,5.0,1.0
Илья Кырчумару,2,2.5,0.5
Илья Леонидович Хохлов,1,4.8,4.0
Имран Ахмад,1,5.0,1.0
Инна Евгеньевна Колошкина,1,5.0,1.0
Ирв Кальб,1,4.4,3.0
Ирина Никулина,4,3.6,0.5
Ирина Сергеевна Козлова,1,4.4,3.0
Ирина Телина,1,2.5,1.0
Искусственный Интеллект,4,3.9,1.25
К. А. Сатюков,1,2.7,1.0
К. В. Гусев,1,0.0,0.0
К. В. Заваровский,1,5.0,0.0
К. В. Князьков,1,0.0,0.0
К. В. Кринкин,1,0.0,0.0
К. В. Кутикова,1,0.0,0.0
К. В. Максименко-Шейко,1,5.0,0.0
К. Дж. Дейт,1,3.6,2.0
К. И. Астахова,1,4.8,1.0
К. М. Саламатин,1,0.0,0.0
К. Ю. Поляков,1,3.5,0.0
Кайл Симпсон,1,4.5,2.0
Калле Розенбаум,1,3.1,2.0
Кей Хорстманн,1,4.2,2.0
Кейт Грегори,1,0.0,0.0
Кейт Кроуфорд,1,4.7,0.0
Кеннеди Берман,1,5.0,1.0
Кент Бек,1,4.4,19.0
Ким Бентли,1,4.9,3.0
Кирилл Егерев,1,4.1,18.0
Кирупа Чиннатхамби,1,4.8,4.0
Кларенс Хо,1,3.1,2.0
Коллин Маклин,2,4.7,1.0
Константин Васильевич Рочев,1,5.0,1.0
Константин Евгеньевич Борисов,2,4.75,8.5
Константин Константинович Берлинский,3,3.8000000000000003,1.0
Константин Сахнов,2,4.55,4.0
Кори Альтхофф,1,4.2,25.0
Крис Дикинсон,1,3.6,4.0
Крис Риккомини,1,5.0,4.0
Крис Ричардсон,1,4.2,6.0
Крис Симмондс,1,4.1,1.0
Крис Смит,1,4.3,0.0
Крис Стюарт,1,4.7,4.0
Крис Фиайли,1,3.7,3.0
Крис Шефер,1,3.1,2.0
Кристи Уилсон,1,2.0,0.0
Кристиан Бауэр,1,4.7,0.0
Кристиан Майер,1,4.0,3.0
Л. А. Адамцевич,1,4.5,0.0
Л. А. Анеликова,1,4.5,1.0
Л. А. Залогова,1,0.0,0.0
Л. А. Шилова,1,0.0,0.0
Л. В. Городняя,2,0.0,0.0
Л. В. Степанов,1,0.0,0.0
Л. Г. Власова,1,5.0,0.0
Л. Г. Комарцова,2,0.0,0.0
Л. З. Давлеткиреева,1,1.0,0.0
Л. И. Рубанов,1,0.0,0.0
Л. Л. Босова,6,3.6333333333333333,1.3333333333333333
Л. С. Болотова,4,1.25,0.0
Л. С. Чистяков,1,0.0,0.0
Л. Э. Петросян,1,0.0,0.0
Лауренциу Спилкэ,1,4.4,2.0
Леен Аммерааль,1,5.0,2.0
Лейн Хобсон,1,5.0,3.0
Ли Воган,1,4.0,0.0
Лиз Райс,1,5.0,0.0
Ллойд Бромбах,1,5.0,0.0
Лоренс Ларс Свекис,1,4.0,2.0
Луис Розенфельд,1,3.9,4.0
Луис Серрано,1,4.4,3.0
Лука Антига,1,4.5,1.0
Лукас да Коста,1,5.0,5.0
Лучано Рамальо,1,4.1,10.0
М. А. Кожевников,1,0.0,0.0
М. А. Короткова,1,0.0,0.0
М. А. Морозов,1,0.0,0.0
М. А. Ройтберг,1,0.0,2.0
М. А. Ромашкин,1,0.0,0.0
М. А. Соколов,1,0.0,0.0
М. Б. Хрипунова,2,3.9,2.0
М. Блаха,1,4.5,7.0
М. В. Андреева,1,0.0,0.0
М. В. Зенькович,1,0.0,0.0
М. В. Румянцев,2,0.0,0.0
М. В. Тумбинская,1,0.0,0.0
М. Г. Зайцев,1,0.0,0.0
М. Е. Бачуринская,1,0.0,0.0
М. Е. Дубин,1,0.0,0.0
М. И. Дли,4,1.25,0.25
М. Кривцов,1,4.9,1.0
М. Л. Соболева,2,2.95,0.5
М. М. Назмеев,1,0.0,0.0
М. М. Рожков,2,0.0,0.0
М. Н. Барсукова,1,0.0,0.0
М. Н. Капранова,1,0.0,0.0
М. Р. Исаева,1,0.0,0.0
М. С. Пестин,1,0.0,0.0
М. С. Сергеев,1,0.0,0.0
М. Ф. Гарифуллин,1,2.0,1.0
Майк МакГрат,3,3.9333333333333336,6.0
Майкл Киллик,1,2.7,3.0
Максим Иванов,1,5.0,1.0
Максим Кононенко,2,3.3499999999999996,3.5
Максим Попов,1,3.9,1.0
Максим Струков,1,4.7,1.0
Мануэль Рубио-Санчес,1,5.0,0.0
Марейн Хавербеке,1,4.2,14.0
Марина Михайленко,2,4.45,2.0
Марина Охапкина,1,4.5,25.0
Марина Полубенцева,1,5.0,3.0
Марк Винтерингем,1,0.0,0.0
Марк Дж. Прайс,1,4.7,5.0
